,city,district,price,area
709,Łódź,Bałuty,,58.7
710,Łódź,Bałuty,326000.0,38.25
711,Łódź,Górna,398000.0,47.22
712,Łódź,Polesie,280000.0,38.15
713,Łódź,Polesie,340000.0,38.0
714,Łódź,Widzew,638000.0,77.29
715,Łódź,Górna,278000.0,31.04
716,Łódź,Polesie,355000.0,42.42
717,Łódź,Bałuty,390000.0,52.9
718,Łódź,Bałuty,405000.0,57.1
719,Łódź,Polesie,609000.0,62.51
720,Łódź,Widzew,455000.0,57.3
721,Łódź,Górna,456000.0,62.5
722,Łódź,Bałuty,483000.0,53.0
723,Łódź,Polesie,429000.0,53.0
724,Łódź,Górna,300000.0,46.0
725,Łódź,Bałuty,435000.0,54.0
726,Łódź,Polesie,399000.0,46.58
727,Łódź,Polesie,249000.0,42.42
728,Łódź,Polesie,409000.0,54.0
729,Łódź,Polesie,480144.16,67.22
730,Łódź,Śródmieście,,31.64
731,Łódź,Śródmieście,288150.0,33.9
732,Łódź,Polesie,,36.58
733,Łódź,Widzew,,63.68
734,Łódź,Polesie,914411.0,110.17
735,Łódź,Górna,,47.5
736,Łódź,Bałuty,,66.87
737,Łódź,Bałuty,414813.6,61.2
738,Łódź,Górna,519000.0,78.77
739,Łódź,Bałuty,409000.0,54.66
